name,Memorability,animate
00000010.jpg,0.6790974,0
00000032.jpg,0.6444442,1
00000052.jpg,0.7134688,1
00000104.jpg,0.8878916,1
00000113.jpg,0.7998286,0
00000117.jpg,0.5644574,1
00000137.jpg,0.8574836,0
00000142.jpg,0.6850678,0
00000143.jpg,0.8053226,1
00000214.jpg,0.8362724,0
00000262.jpg,0.682404,0
00000312.jpg,0.7434228,1
00000330.jpg,0.8726348,1
00000342.jpg,0.6940686,1
00000345.jpg,0.8191666,1
00000349.jpg,0.5903154,1
00000356.jpg,0.7173608,0
00000374.jpg,0.6405086,0
00000393.jpg,0.7921838,0
00000408.jpg,0.8331424,1
00000414.jpg,0.809573,1
00000425.jpg,0.8034924,0
00000426.jpg,0.8745042,0
00000430.jpg,0.9728528,1
00000483.jpg,0.865153,1
00000487.jpg,0.8661184,1
00000519.jpg,0.8812022,1
00000611.jpg,0.785708,1
00000681.jpg,0.783333,0
00000737.jpg,0.685255,0
00000745.jpg,0.5198048,0
00000747.jpg,0.656643,0
00000790.jpg,0.6866,1
00000791.jpg,0.7940436,1
00000795.jpg,0.7597324,0
00000855.jpg,0.821952,1
00000864.jpg,0.6007392,0
00000891.jpg,0.5556544,1
00000900.jpg,0.5675438,0
00000903.jpg,0.7526174,1
00000905.jpg,0.684826,0
00000942.jpg,0.5242522,0
00000967.jpg,0.9333296,1
00000997.jpg,0.8505536,0
00001028.jpg,0.7072184,0
00001032.jpg,0.7897086,1
00001048.jpg,0.5945048,0
00001063.jpg,0.6872044,0
00001075.jpg,0.788847,0
00001086.jpg,0.406689,0
00001107.jpg,0.573611,0
00001115.jpg,0.9132406,1
00001157.jpg,0.6888292,1
00001175.jpg,0.7311524,0
00001183.jpg,0.8478474,1
00001190.jpg,0.5809982,0
00001196.jpg,0.6829188,1
00001211.jpg,0.8493466,1
00001229.jpg,0.8840082,0
00001233.jpg,0.8412746,1
00001254.jpg,0.8426834,1
00001276.jpg,0.7466134,1
00001281.jpg,0.8029756,0
00001283.jpg,0.5178578,0
00001286.jpg,0.818225,1
00001336.jpg,0.7322076,0
00001343.jpg,0.6510608,1
00001347.jpg,0.7330428,1
00001351.jpg,0.6136956,0
00001364.jpg,0.587782,1
00001378.jpg,0.9485078,1
00001385.jpg,0.8617546,1
00001392.jpg,0.8733782,0
00001394.jpg,0.8468546,0
00001409.jpg,0.7894766,0
00001417.jpg,0.9478146,1
00001422.jpg,0.61608,0
00001438.jpg,0.9066958,0
00001440.jpg,0.6817586,1
00001441.jpg,0.8248556,1
00001472.jpg,0.8495368,0
00001480.jpg,0.782906,1
00001494.jpg,0.8620714,1
00001536.jpg,0.879153,0
00001568.jpg,0.7987618,1
00001610.jpg,0.8225976,0
00001631.jpg,0.5949774,0
00001641.jpg,0.7687798,1
00001677.jpg,0.8734872,1
00001679.jpg,0.8020226,1
00001690.jpg,0.6593672,1
00001721.jpg,0.496694,0
00001722.jpg,0.7140302,1
00001748.jpg,0.7556494,1
00001750.jpg,0.7064272,0
00001751.jpg,0.7356612,1
00001772.jpg,0.716362,0
00001778.jpg,0.8310124,1
00001795.jpg,0.7296896,1
00001847.jpg,0.8546198,1
00001856.jpg,0.7996246,1
00001872.jpg,0.897403,0
00001877.jpg,0.75771,0
00001908.jpg,0.8742218,0
00001944.jpg,0.7021892,0
00002006.jpg,0.805872,0
00002096.jpg,0.8022474,0
00002109.jpg,0.8578072,1
00002116.jpg,0.6827634,0
00002133.jpg,0.7174568,0
00002154.jpg,0.5659342,0
00002159.jpg,0.5012016,0
00002164.jpg,0.60735,1
00002166.jpg,0.8696258,1
00002189.jpg,0.7599794,0
00002213.jpg,0.8287862,0
00002223.jpg,0.8506278,1
00002237.jpg,0.8402738,1
00002253.jpg,0.696737,0
00002261.jpg,0.6092836,0
00002263.jpg,0.8965348,1
00002268.jpg,0.7830348,1
00002281.jpg,0.8134304,1
00002283.jpg,0.7500416,1
00002292.jpg,0.8305188,1
00002339.jpg,0.8591642,0
00002354.jpg,0.8280102,1
00002365.jpg,0.774224,1
00002372.jpg,0.7925662,0
00002376.jpg,0.8522436,0
00002408.jpg,0.67597,0
00002409.jpg,0.7086806,0
00002412.jpg,0.8891908,0
00002443.jpg,0.7428192,1
00002446.jpg,0.5305054,0
00002475.jpg,0.750415,1
00002487.jpg,0.8217906,0
00002489.jpg,0.5618562,1
00002540.jpg,0.6971162,0
00002548.jpg,0.7091478,1
00002557.jpg,0.8778688,0
00002568.jpg,0.461609,0
00002575.jpg,0.64615,1
00002587.jpg,0.8225408,1
00002589.jpg,0.914852,1
00002614.jpg,0.5852144,0
00002643.jpg,0.8270248,1
00002669.jpg,0.6111296,1
00002687.jpg,0.8395292,1
00002716.jpg,0.7815602,0
00002765.jpg,0.6984876,0
00002798.jpg,0.8158292,1
00002803.jpg,0.7625152,0
00002804.jpg,0.895757,1
00002807.jpg,0.6101278,0
00002821.jpg,0.8094974,1
00002863.jpg,0.724099,0
00002924.jpg,0.6849832,1
00002926.jpg,0.8089932,0
00002937.jpg,0.859779,0
00002995.jpg,0.6527974,1
00003003.jpg,0.9263984,0
00003008.jpg,0.4570762,0
00003009.jpg,0.8568782,0
00003012.jpg,0.6229266,0
00003017.jpg,0.8283834,0
00003022.jpg,0.8175548,0
00003046.jpg,0.6183618,0
00003047.jpg,0.8760678,0
00003062.jpg,0.7939084,1
00003090.jpg,0.8892984,0
00003096.jpg,0.8322382,0
00003130.jpg,0.8839908,0
00003141.jpg,0.701415,1
00003159.jpg,0.4676292,0
00003164.jpg,0.6004012,1
00003165.jpg,0.701104,1
00003183.jpg,0.5624468,1
00003237.jpg,0.8876652,1
00003241.jpg,0.6281354,0
00003252.jpg,0.6032,0
00003263.jpg,0.6954564,0
00003267.jpg,0.7903516,1
00003278.jpg,0.8474174,0
00003307.jpg,0.7473832,0
00003328.jpg,0.678684,0
00003333.jpg,0.7776752,1
00003340.jpg,0.7422886,0
00003350.jpg,0.68281,1
00003366.jpg,0.870758,0
00003375.jpg,0.3626794,0
00003406.jpg,0.8500628,1
00003407.jpg,0.771732,0
00003408.jpg,0.9586972,1
00003410.jpg,0.8495766,0
00003415.jpg,0.8009296,0
00003436.jpg,0.869106,0
00003449.jpg,0.662785,0
00003464.jpg,0.7786318,1
00003473.jpg,0.6904762,0
00003505.jpg,0.8377224,1
00003529.jpg,0.8311936,0
00003546.jpg,0.7182514,0
00003564.jpg,0.6897936,0
00003600.jpg,0.8604658,1
00003608.jpg,0.8654016,0
00003609.jpg,0.6037908,0
00003629.jpg,0.8167332,0
00003666.jpg,0.8660476,0
00003674.jpg,0.8222078,0
00003675.jpg,0.4316686,0
00003688.jpg,0.8400856,0
00003698.jpg,0.7589304,0
00003704.jpg,0.861175,0
00003725.jpg,0.563049,1
00003744.jpg,0.669105,1
00003746.jpg,0.6800896,0
00003787.jpg,0.6783782,0
00003820.jpg,0.7465932,0
00003873.jpg,0.6570118,0
00003874.jpg,0.7371064,1
00003879.jpg,0.8453056,1
00003899.jpg,0.7948712,0
00003914.jpg,0.5877954,1
00003938.jpg,0.483255,0
00003945.jpg,0.7598982,1
00003952.jpg,0.810102,1
00003961.jpg,0.8181032,0
00003978.jpg,0.6532122,0
00003998.jpg,0.9062572,1
00004009.jpg,0.78673,0
00004056.jpg,0.5532832,0
00004057.jpg,0.4492958,0
00004066.jpg,0.8375908,0
00004069.jpg,0.5968684,1
00004073.jpg,0.8459048,0
00004080.jpg,0.8923168,0
00004103.jpg,0.8427696,1
00004109.jpg,0.6753896,0
00004113.jpg,0.8713082,0
00004120.jpg,0.7405776,0
00004129.jpg,0.8884056,0
00004168.jpg,0.7051694,0
00004194.jpg,0.8251176,0
00004229.jpg,0.8334792,0
00004236.jpg,0.7187398,0
00004251.jpg,0.5513244,0
00004259.jpg,0.8026036,0
00004262.jpg,0.9190388,1
00004266.jpg,0.7691684,1
00004293.jpg,0.90166,1
00004318.jpg,0.838483,0
00004325.jpg,0.700306,0
00004350.jpg,0.6843106,0
00004385.jpg,0.7072182,0
00004438.jpg,0.6883734,1
00004466.jpg,0.7713428,1
00004494.jpg,0.849146,1
00004499.jpg,0.3228574,0
00004506.jpg,0.6001474,0
00004515.jpg,0.8157268,1
00004534.jpg,0.6723774,0
00004540.jpg,0.6482638,0
00004553.jpg,0.6610238,0
00004581.jpg,0.7657842,1
00004592.jpg,0.6862096,0
00004611.jpg,0.6420682,0
00004648.jpg,0.7799086,1
00004681.jpg,0.8179016,1
00004684.jpg,0.6256568,1
00004712.jpg,0.83616,1
00004720.jpg,0.818026,0
00004728.jpg,0.664112,0
00004755.jpg,0.6299818,0
00004769.jpg,0.7802022,0
00004771.jpg,0.6020096,1
00004773.jpg,0.8944622,0
00004796.jpg,0.6417268,0
00004811.jpg,0.7807676,0
00004839.jpg,0.8593032,1
00004876.jpg,0.8247236,1
00004897.jpg,0.6214388,0
00004907.jpg,0.4890304,0
00004908.jpg,0.6485502,1
00004931.jpg,0.8690066,1
00004951.jpg,0.8797326,1
00004953.jpg,0.8891518,1
00004959.jpg,0.8698478,0
00004969.jpg,0.8147886,1
00004990.jpg,0.7850248,0
00005098.jpg,0.5105752,1
00005111.jpg,0.7679708,0
00005113.jpg,0.7582284,0
00005114.jpg,0.765396,0
00005143.jpg,0.4265212,0
00005178.jpg,0.7115204,1
00005193.jpg,0.799598,0
00005200.jpg,0.7067596,1
00005214.jpg,0.6893932,1
00005256.jpg,0.707576,1
00005258.jpg,0.8945624,0
00005283.jpg,0.763453,1
00005309.jpg,0.9442688,0
00005347.jpg,0.5381832,0
00005365.jpg,0.7326338,0
00005374.jpg,0.7085036,0
00005388.jpg,0.888362,1
00005394.jpg,0.6770842,1
00005395.jpg,0.6605554,0
00005397.jpg,0.6423274,0
00005400.jpg,0.7036456,0
00005417.jpg,0.5422884,0
00005421.jpg,0.932833,0
00005429.jpg,0.9541752,1
00005448.jpg,0.7904992,1
00005487.jpg,0.7632972,1
